:START_ID,:END_ID,relation,:TYPE
20069,30156,相关,相关
20069,30026,相关,相关
20001,30063,相关,相关
20001,30031,相关,相关
20010,30012,相关,相关
20010,30121,相关,相关
20032,30038,相关,相关
20032,30004,相关,相关
20023,30130,相关,相关
20023,30141,相关,相关
20039,30009,相关,相关
20039,30029,相关,相关
20040,30067,相关,相关
20040,30151,相关,相关
20001,30044,相关,相关
20001,30161,相关,相关
20055,30144,相关,相关
20055,30083,相关,相关
20009,30090,相关,相关
20009,30015,相关,相关
20065,30159,相关,相关
20065,30109,相关,相关
20006,30064,相关,相关
20006,30027,相关,相关
20028,30106,相关,相关
20028,30017,相关,相关
20074,30079,相关,相关
20074,30003,相关,相关
20014,30082,相关,相关
20014,30080,相关,相关
20063,30063,相关,相关
20063,30005,相关,相关
20054,30039,相关,相关
20054,30002,相关,相关
20003,30070,相关,相关
20003,30103,相关,相关
20009,30015,相关,相关
20009,30070,相关,相关
20021,30136,相关,相关
20021,30046,相关,相关
20075,30010,相关,相关
20075,30152,相关,相关
20063,30058,相关,相关
20063,30147,相关,相关
20065,30037,相关,相关
20065,30108,相关,相关
20046,30041,相关,相关
20046,30165,相关,相关
20001,30065,相关,相关
20001,30072,相关,相关
20001,30044,相关,相关
20001,30075,相关,相关
20037,30150,相关,相关
20037,30050,相关,相关
20004,30119,相关,相关
20004,30157,相关,相关
20022,30057,相关,相关
20022,30158,相关,相关
20051,30171,相关,相关
20051,30122,相关,相关
20060,30059,相关,相关
20060,30066,相关,相关
20000,30143,相关,相关
20000,30056,相关,相关
20000,30032,相关,相关
20008,30096,相关,相关
20008,30153,相关,相关
20036,30028,相关,相关
20036,30145,相关,相关
20038,30120,相关,相关
20038,30164,相关,相关
20067,30019,相关,相关
20067,30095,相关,相关
20014,30024,相关,相关
20014,30043,相关,相关
20013,30030,相关,相关
20013,30045,相关,相关
20014,30162,相关,相关
20014,30166,相关,相关
20072,30078,相关,相关
20072,30149,相关,相关
20012,30046,相关,相关
20012,30092,相关,相关
20061,30021,相关,相关
20061,30137,相关,相关
20011,30042,相关,相关
20011,30138,相关,相关
20068,30023,相关,相关
20068,30101,相关,相关
20019,30034,相关,相关
20019,30094,相关,相关
20031,30053,相关,相关
20031,30104,相关,相关
20015,30073,相关,相关
20015,30134,相关,相关
20036,30028,相关,相关
20036,30001,相关,相关
20047,30093,相关,相关
20047,30060,相关,相关
20028,30012,相关,相关
20028,30114,相关,相关
20041,30047,相关,相关
20041,30124,相关,相关
20020,30111,相关,相关
20020,30016,相关,相关
20064,30169,相关,相关
20064,30118,相关,相关
20030,30015,相关,相关
20030,30077,相关,相关
20005,30035,相关,相关
20005,30006,相关,相关
20044,30135,相关,相关
20044,30091,相关,相关
20048,30097,相关,相关
20048,30117,相关,相关
20062,30089,相关,相关
20062,30133,相关,相关
20056,30041,相关,相关
20056,30074,相关,相关
20014,30054,相关,相关
20014,30125,相关,相关
20073,30172,相关,相关
20073,30076,相关,相关
20066,30033,相关,相关
20066,30131,相关,相关
20053,30048,相关,相关
20053,30025,相关,相关
20018,30068,相关,相关
20018,30102,相关,相关
20025,30126,相关,相关
20025,30085,相关,相关
20075,30010,相关,相关
20075,30062,相关,相关
20070,30034,相关,相关
20070,30008,相关,相关
20033,30160,相关,相关
20033,30129,相关,相关
20059,30069,相关,相关
20059,30146,相关,相关
20024,30051,相关,相关
20024,30086,相关,相关
20012,30046,相关,相关
20012,30089,相关,相关
20050,30132,相关,相关
20050,30170,相关,相关
20002,30167,相关,相关
20002,30127,相关,相关
20057,30140,相关,相关
20057,30110,相关,相关
20054,30002,相关,相关
20054,30014,相关,相关
20054,30002,相关,相关
20054,30026,相关,相关
20035,30100,相关,相关
20035,30139,相关,相关
20016,30099,相关,相关
20016,30107,相关,相关
20048,30113,相关,相关
20048,30154,相关,相关
20029,30112,相关,相关
20029,30071,相关,相关
20066,30151,相关,相关
20066,30022,相关,相关
20042,30000,相关,相关
20042,30168,相关,相关
20057,30087,相关,相关
20057,30123,相关,相关
20058,30081,相关,相关
20058,30084,相关,相关
20049,30151,相关,相关
20049,30055,相关,相关
20052,30105,相关,相关
20052,30018,相关,相关
20047,30011,相关,相关
20047,30040,相关,相关
20053,30049,相关,相关
20053,30036,相关,相关
20071,30002,相关,相关
20071,30084,相关,相关
20027,30013,相关,相关
20027,30148,相关,相关
20012,30007,相关,相关
20012,30020,相关,相关
20043,30163,相关,相关
20043,30061,相关,相关
20026,30115,相关,相关
20026,30098,相关,相关
20017,30052,相关,相关
20017,30088,相关,相关
20007,30144,相关,相关
20007,30107,相关,相关
20069,30012,相关,相关
20069,30142,相关,相关
20040,30116,相关,相关
20040,30067,相关,相关
20034,30070,相关,相关
20034,30155,相关,相关
20045,30117,相关,相关
20045,30128,相关,相关
20045,30117,相关,相关
20045,30128,相关,相关
